Date,Time,Headlines,Description,tb_sentiment,vs_sentiment,ann_sentiment,cnn_sentiment
2020-06-15,19:23:00,Jim Cramer: Investors concerned about spiking coronavirus cases should buy these stocks,"""As Zoom goes, so go Zscaler and CrowdStrike and Cramer-fave RingCentral,"" the ""Mad Money"" host said.",0,1,0,1
2020-06-12,20:21:00,Cramer recommends buying these 17 cloud stocks based on the 'Rule of 40',"""If the combination's over 40, you've got a good one. If it's under 40, you've got a riskier one,"" the ""Mad Money"" host said.",0,1,2,1
2020-06-12,20:03:00,Cramer's week ahead: This is the 'most overbought market in history',"""As long as you think we aren't going into a second lockdown, even as Covid cases spike, then you want to buy your favorite stocks into weakness here,"" Cramer said.",2,0,2,0
2020-06-12,20:26:00,Centene CEO calls for better education for at-risk youth as one solution to racial disparities,"""One of the things we have to do to correct this is improve the educational system in the inner city,"" health insurer Centene CEO Michael Neidorff said.",2,2,2,2
2020-06-12,19:15:00,Cramer's lightning round: Alibaba is the only Chinese stock I recommend,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,2,2,1
2020-06-11,22:22:00,Pullback on Nasdaq a good opportunity to join the uptrend: Daryl Guppy,Daryl Guppy of Guppytraders.com gives technical analysis on key U.S. market indices and VIX.,2,2,1,2
2020-06-11,20:56:00,'The threats are becoming higher' — L3Harris CEO says tech is driving the future of warfare,"""The competition of the future, the war fight of the future, is going to be based on new technology,"" L3Harris CEO Bill Brown said on ""Mad Money.""",2,1,2,1
2020-06-11,20:18:00,"CEO of Tommy Hilfiger owner vows to 'do better' on corporate diversity, social justice","PVH, the parent company of such brands as Tommy Hilfiger and Calvin Klein, plans to develop ""meaningful targets"" and be accountable, CEO Manny Chirico said.",1,2,1,1
2020-06-11,19:05:00,Cramer's lightning round: I don't want anything to do with a real estate development company,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-06-12,04:41:00,Cramer recommends buying these stocks after Thursday's brutal rout,"""In a tough market, you need to circle the wagons around the few good names you feel comfortable buying and then buying more if they go lower,"" Cramer said.",1,0,2,2
2020-06-10,18:59:00,Cramer's lightning round: Cloudflare is good,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,2,2,1
2020-06-10,18:59:00,"Wall Street can't rally much higher without a coronavirus vaccine, Jim Cramer warns","""No broad-based rally from this level is sustainable without a major scientific breakthrough in the fight against Covid-19,"" the ""Mad Money"" host said.",0,1,1,0
2020-06-10,18:40:00,"Polaris has a 'once-in-a-generation opportunity,' Jim Cramer says","""This is a company that benefits enormously from the V-shaped recovery thesis, and it also works with a slower recovery,"" Cramer said.",0,2,2,2
2020-06-09,19:41:00,"Hertz's stock may look cheap, but Cramer cautions against buying it","""It doesn't matter how little you pay for a stock, when it goes to zero, you lose everything,"" the ""Mad Money"" host said.",2,1,1,1
2020-06-09,19:08:00,Cramer's lightning round: General Mills and Axon Enterprise are worth a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-06-09,18:37:00,Cramer urges investors to be wary of airline and cruise stocks — buy these 5 winners instead,"Cramer said Facebook, AMD, Apple, Amazon and Nvidia can go higher based on their strengths. ""That's why I keep going back to them, and you should too.""",0,2,2,1
2020-06-09,02:43:00,Markets could go even higher in this liquidity-driven rally: Professor,"As the S&P 500 wipes its 2020 losses and Nasdaq closes at a record high, Jeremy Siegel of the University of Pennsylvania explains why he thinks the markets could go higher still.",2,1,2,2
2020-06-08,22:36:00,Expect the Fed to continue to provide support to propel economy: Strategist,"Sam Stovall of CFRA discusses the U.S. economy amid the current crisis and a looming recession. Sam foresees that Fed will not be too quick to remove the stimulus, ahead of the FOMC meeting this week.",1,1,2,1
2020-06-08,19:41:00,Cramer's lightning round: Software maker Ping Identity is a buy,"""Mad Money"" host Jim Cramer says the stocks of Ping Identity and Biohaven Pharmaceuticals are worth a buy.",0,1,2,1
2020-06-08,19:39:00,Cramer: These are the stocks that helped power the Nasdaq to a record high during the pandemic,"The Nasdaq's rally is ""more representative of this market than the endless rebound in the hospitality and travel stocks"" due to reopening, Cramer said.",2,1,2,2
2020-06-08,18:50:00,CEO of Airstream maker says new people are seeing benefits of traveling by RV during pandemic,"""You really only have to stop to get gas,"" Thor Industries CEO Bob Martin said in explaining the benefits of RV travel.",0,2,2,1
2020-06-05,11:54:00,Most global indexes have surpassed our 12-month targets: CIO,"The magnitude of the rally in U.S. stocks since March has come as a surprise, says Tuan Huynh of Deutsche Bank Wealth Management. With the markets pricing in a ""blue sky"" scenario, he says now is the time to take some profits off the table.",2,0,1,2
2020-06-04,20:53:00,"The future of commerce needs more diverse voices, Shopify COO says","""We stand with our black merchants, our black employees and the black community worldwide,"" Shopify COO Harley Finkelstein said amid civil unrest in America.",2,1,1,2
2020-06-04,19:21:00,Cramer's lightning round: Macy's stock can go higher,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-06-04,19:20:00,Jim Cramer: The pandemic led to 'one of the greatest wealth transfers in history',"""I think we're looking at a V-shaped recovery in the stock market, and that has almost nothing to do with a V-shaped recovery in the economy,"" the ""Mad Money"" host said.",2,2,1,1
2020-06-04,18:55:00,Nancy Pelosi calls for 'very strong' change in response to nationwide unrest,"""Let's take this moment to be an inflection point ... that we are going to not just proceed incrementally, but in a very strong way to do things differently,"" the House Speaker said.",2,2,1,1
2020-06-04,03:19:00,We stand behind our 3400 target for S&P 500 by Q1 2021: BMO Capital Markets,"Brian Belski of BMO Capital Markets says in addition to Fed support on liquidity, the fundamentals of economy and quality of U.S. stocks supported the 40% rally from the March lows. He sees further upside in market based on projected recovery in second half of the year.",0,0,1,1
2020-06-03,20:59:00,Crowdstrike CEO explains how the future of remote work and security will look,"The remote work wave is a ""subset of digital transformation"" and was sped up over night by the coronavirus pandemic, CEO George Kurtz said in a ""Mad Money"" interview.",0,1,1,2
2020-06-03,20:21:00,Cramer's lightning round: Microsoft fits the pattern of what this market wants,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-06-03,18:42:00,Jim Cramer: Investors are rotating into and out of these stocks,"""Normalcy is shop until you drop. And today's action says that's exactly where we're headed,"" the ""Mad Money"" host said.",0,1,0,1
2020-06-02,21:37:00,"China is the 'first leading indicator' of a rebound in autos, Marvell Tech CEO says","China is showing ""very positive signs of production resuming,"" Marvell Technology CEO Matt Murphy said.",2,0,2,2
2020-06-03,17:32:00,Cramer's lightning round: I'm starting to warm up again to Wells Fargo,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,2,2,2
2020-06-02,18:48:00,"China and Europe 'bailed our stock market out,' Jim Cramer says","""If the rest of the world's in better shape, well, that is fantastic news for our companies that do lots of business overseas,"" the ""Mad Money"" host said.",0,0,1,2
2020-06-02,18:38:00,"Camping and RV stocks are 'back in a big way,' Jim Cramer says","""I think the pandemic has given the industry a huge long-term boost,"" the ""Mad Money"" host said.",0,0,2,2
2020-06-01,21:07:00,Chipotle CEO on stores damaged in protests: 'We can patch up and fix',"""Fortunately, all of our employees have been safe,"" Chipotle CEO Brian Niccol said in a ""Mad Money"" interview.",0,1,1,0
2020-06-02,16:56:00,Jim Cramer on Wall Street's relation to George Floyd protests: 'The market has no conscience',"The ""Mad Money"" host worries how the nationwide protests, which he generally supports, could impact the fight against coronavirus.",0,1,1,1
2020-06-02,10:36:00,Cramer's lightning round: Harley-Davidson is not a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-05-29,19:05:00,Cramer's lightning round: Cognex manufactures in America and should be celebrated,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,2,2,1
2020-05-29,18:59:00,"Salesforce and Costco are flashing buy signals to investors, Jim Cramer says","The ""Mad Money"" host said ""history tells me that you've gotta buy them when they're weak.""",0,1,2,0
2020-05-29,18:48:00,Cramer's week ahead: This is a bad time for a trade war,"""Right now, our economy's struggling and any kind of retaliation from China will make it even more difficult for us to recover.""",1,1,1,0
2020-05-29,00:23:00,It's a good time to take profits from the US stock market: Analyst,"Dan Niles of AlphaOne Capital Partners says the market is increasingly traded technically. Based on valuations, equity investors who mainly take long positions can consider taking profits at the current levels.",2,2,2,2
2020-05-29,18:29:00,Cramer's lightning round: Buy AMD over Intel,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-05-29,07:54:00,"Jim Cramer says market still in for a 'rough ride,' suggests sticking with remote tech stocks","""I think the 'V for victory' crowd may have gotten ahead of themselves,"" the ""Mad Money"" host said.",0,1,2,1
2020-05-28,18:51:00,Marc Benioff: Salesforce's deal with AT&T is one of the 'largest transactions we've ever done',"""This is a transformational opportunity for AT&T wireless,"" Salesforce CEO Marc Benioff told CNBC's Jim Cramer.",0,0,2,1
2020-05-27,20:51:00,"HP CEO commits to company's buyback program, says stock is 'undervalued'","""[W]e are going to stay committed to the principles that we shared in the value plan,"" HP CEO Enrique Lores said on ""Mad Money.""",0,0,1,1
2020-05-27,19:16:00,Cramer's lightning round: Waste Management is a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-05-27,19:07:00,'I think they're confused' — Jim Cramer says bull investors have one thing wrong about the economy,"""I'm betting the field will be spread out by the time we get to the homestretch, and many of the current winners will fall behind,"" the ""Mad Money"" host said.",0,1,1,1
2020-05-26,20:56:00,Corteva Agriscience expects mid-Michigan floods to have a 'minimal impact' on revenue,"""Only 1% of our second half revenue is dependent on any of the products that come out of Midland,"" CEO Jim Collins said.",0,1,1,2
2020-05-26,20:31:00,Jim Cramer reveals what stocks to own if betting on a V-shaped recovery,"""If we don't have a giant outbreak in the states that are aggressively reopening — a big if — then a V-shaped recovery is actually on the table,"" the ""Mad Money"" host said.",2,1,1,1
2020-05-26,19:45:00,Cramer's lightning round: Canopy is 'most legit' of the cannabis stocks,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-05-26,18:55:00,Jim Cramer shakes up his Cramer Covid-19 Index: Wall Street is 'more confident' about a recovery,"""The market's gotten more confident that we'll have a speedy, V-shaped recovery ... and that makes the recession stocks less attractive,"" the ""Mad Money"" host said.",2,2,2,2
2020-05-21,19:19:00,"Target saw strength in April 'across our entire portfolio,' CEO Brian Cornell says","""We're building market share and I think most importantly ... we built trust with American consumers during the pandemic,"" Target CEO Brian Cornell said.",1,2,1,2
2020-05-21,19:15:00,"Shelter-in-place will have a 'lasting impact on consumer behavior,' Jim Cramer says","""Just remember, even as we reopen for business, the new normal is not the old normal,"" the ""Mad Money"" host said.",0,1,1,1
2020-05-21,18:52:00,Cramer's lightning round: I prefer Tesla to Ford,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-05-21,18:50:00,'Wall Street doesn't like ad hominem' — Jim Cramer warns of renewed U.S.-China tensions,"""I think we should hold off on another trade war until the economy's in better shape,"" the ""Mad Money"" host said.",0,1,2,1
2020-05-20,19:01:00,Cramer's lightning round: Consolidation is a 'positive' for Citrix Systems,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,2,2,2
2020-05-20,18:32:00,"FAANG emerges as the latest group to lead the market, Jim Cramer says","""This market's been going through leadership groups like there's no tomorrow,"" the ""Mad Money"" host said.",2,1,2,2
2020-05-20,18:18:00,Lowe's to support reopening minority businesses with $25 million in grants,"""To all my fellow CEOs out there running large companies: Let's do our part to help the small businesses get back up and going,"" Lowe's CEO Marvin Ellison said.",0,2,1,1
2020-05-20,04:42:00,Small and mid-cap equities are more reflective of the real U.S. economy: Wells Fargo,"Kirk Hartman of Wells Fargo Asset Management says the gap between U.S. small caps and large caps is closing. He sees some value in the small-cap space, but the key is to have the economy recover first.",2,2,1,1
2020-05-19,20:11:00,"Coronavirus is powering the rush for web-based contact centers, Five9 CEO says",Five9 CEO Rowan Trollope said the cloud-based communications provider saw an acceleration of new companies adopting the service to continue operations.,1,1,2,1
2020-05-19,20:01:00,"'We've probably taken a depression off the table,' Jim Cramer says","""I'm not saying this market's done going down. There's always the possibility that we get more sell-offs,"" the ""Mad Money"" host said.",0,1,1,0
2020-05-19,19:06:00,Cramer's lightning round: Disney is going to get through this,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-05-19,18:48:00,Jim Cramer: Chart action suggests more upside if the S&P 500 breaks key hurdle,"""This is still a very uncertain moment,"" the ""Mad Money"" host said.",0,1,0,1
2020-05-18,20:33:00,Cramer's lightning round: Penske Automotive is 'a very inexpensive stock',"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-05-18,18:57:00,Jim Cramer advises investors not to get too optimistic over Moderna vaccine progress,"The ""Mad Money"" host explained why investors should shape their portfolio to account for more positive and negative information on the coronavirus fight.",0,2,1,2
2020-05-16,09:45:00,Here's what's driving stocks higher despite mounting economic worries: Kevin O'Leary,"The stock market's divergence from its dismal economic backdrop can be explained, ETF analysts say.",2,1,1,2
2020-05-16,09:54:00,DraftKings CEO: esports betting surged during pandemic due to 'pent-up demand' for sports,"""I think what it shows you is there's a lot of pent-up demand for sports,"" DraftKings CEO Jason Robins said.",0,1,2,2
2020-05-15,19:24:00,Cramer's lightning round: Never buy Caterpillar going into a recession,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
