Date,Headlines,tb_sentiment,vs_sentiment,ann_sentiment
2020-07-16,Treasury mulls plan to set up coronavirus toxic debt body to save UK small businesses,0,2,2
2020-07-16,"No-deal Brexit would hit 'red wall' areas hard, manufacturers warn",1,1,2
2020-07-16,"29% of UK businesses to cut jobs in next three months, survey says",1,0,2
2020-07-16,"Nils Pratley on finance  


  Margrethe Vestager was 100% correct over public mood on Apple tax case",1,1,2
2020-07-16,Fear of Pizza Express closures as chain faces takeover by bondholders,1,0,1
2020-07-16,'Not much difference': few takers on first day of hospitality VAT cut,1,0,2
2020-07-16,Capital gains tax review: your questions answered,1,2,2
2020-07-16,Asos considers action against Leicester supplier in ethical audit,1,2,2
2020-07-16,Business live  Chancellor Rishi Sunak warns of 'tough choices' to address public finances - as it happened,1,0,2
2020-07-16,BBC announces further 70 job cuts in news division,1,0,0
2020-07-16,"Claim Amanda Staveley in charge of Abu Dhabi Barclays deal 'a fantasy', court told",1,1,2
2020-07-16,Trump claims credit for UK Huawei ban as China says move 'disheartening' – video,1,0,2
2020-07-16,Buzz Bingo to close 26 halls across UK with loss of up to 573 jobs,1,0,2
2020-07-16,"UK ban on Huawei in 5G network groundless, says Chinese ambassador",1,0,2
2020-07-16,UK fast-food and coffee chains cut prices as VAT relief comes into effect,1,1,2
2020-07-16,"Apple does not need to pay €13bn Irish tax bill, EU court rules",1,1,2
2020-07-16,‘I can’t afford to turn away business’: view from shops on face mask rules,1,1,2
2020-07-16,The Number Bias by Sanne Blauw review – how numbers can mislead us,1,1,2
2020-07-15,Chinese media calls for 'pain' over UK Huawei ban as Trump claims credit,1,0,2
2020-07-15,Matt Hancock rules out mandatory face masks in offices,1,1,2
2020-07-15,Burberry to cut 500 jobs worldwide in £55m cost-saving drive,1,0,1
2020-07-15,UK inflation rises as game console prices increase in lockdown,0,2,1
2020-07-15,BFI diversity standards 'failing to tackle race discrimination in UK film industry',1,0,2
2020-07-15,"Your problems, with Anna Tims  Floored as Harveys constantly failed on its promises to deliver",0,0,1
2020-07-15,Governments put 'green recovery' on the backburner,1,1,2
2020-07-15,The green recovery  UK government planning new green investment bank,1,1,2
2020-07-15,Stamp duty cut fuels surge of interest in London commuter belt,1,1,1
2020-07-15,"UK energy efficiency push offers just a third of the investment needed, says report",1,2,1
2020-07-15,UK launches first online service for groceries in reusable packing,2,1,2
2020-07-15,Rishi Sunak's capital gains tax review may usher in higher taxes on wealthy,2,2,2
2020-07-15,Virgin Atlantic: a successful non-intervention by the Treasury,2,2,2
2020-07-15,The Guardian view on Covid-19 economics: the austerity con of deficit hysteria,1,0,2
2020-07-15,Former Barclays boss apologises for Amanda Staveley 'tart' reference,1,1,2
2020-07-15,Hospitality VAT cut may not be passed on to UK consumers,1,0,2
2020-07-15,Oprah Winfrey and Jay-Z tap into rising alt-milk star Oatly,1,1,1
2020-07-15,"Weak recovery could make unemployment worse than 1980s levels, warns OBR",0,0,0
2020-07-15,Treasury forecaster's three stark predictions for Britain's economy,1,1,1
2020-07-15,UK accounting firms criticised by watchdog for ‘unacceptable’ work,1,0,2
2020-07-14,Business live  Hopes for V-shaped recovery fade as UK economy grows 1.8% in May - as it happened,1,2,2
2020-07-14,Virgin Atlantic agrees £1.2bn rescue deal amid coronavirus slump,1,2,2
2020-07-14,Ireland could randomly test tourists from high-risk countries for Covid-19,0,1,2
2020-07-14,British Airways to sell art collection to ease Covid-19 pressures,1,1,2
2020-07-14,UK's growth figures dim hopes of V-shaped recovery from Covid-19,1,2,1
2020-07-14,Flood strategy 'at odds with Boris Johnson push for mass housing',1,1,2
2020-07-14,"UK economy may not recover until end of 2022, Treasury forecaster warns",1,1,2
2020-07-14,Face masks 'will deter young shoppers' says JD Sports chairman,1,1,2
2020-07-14,Ocado has waiting list of 1 million customers wanting to sign up,1,1,2
2020-07-14,"Huawei to be stripped of role in UK's 5G network by 2027, Dowden confirms",1,1,2
2020-07-14,"End of the office: the quiet, grinding loneliness of working from home",1,0,2
2020-07-14,Britain's economy returns to growth more slowly than expected,1,2,1
2020-07-14,"Sunak’s Covid-19 package may not be value for money, warns Treasury economist",1,1,2
2020-07-14,UK retail sales in June show signs of recovery after covid lockdown,1,1,1
2020-07-14,The fast fashion fix: 20 ways to stop buying new clothes for ever,1,0,1
2020-07-14,Government hopes cut in red tape will triple UK's battery capacity,1,1,1
2020-07-14,"After mixed messages and mess-ups, Johnson bows to the inevitable",1,1,2
2020-07-14,UK's expected U-turn on Huawei fails to satisfy Tory rebels,0,1,1
2020-07-14,"Nils Pratley on finance  


  Sunak cannot just hope other big firms will follow Primark's furlough stance",1,0,2
2020-07-14,Asda equal pay dispute goes to UK supreme court in virtual hearing,1,1,2
2020-07-13,Boohoo shares drop 18% as new Leicester factory reports threaten sales,1,0,0
2020-07-13,Nationwide to offer low-deposit mortgages after stamp duty move,1,1,2
2020-07-13,"Grogonomics  


  To make jobseeker fit for purpose, its temporary rise should be permanent",2,2,1
2020-07-13,Offshore wind energy investment quadruples despite Covid-19 slump,1,2,2
2020-07-13,Halfords to close up to 60 sites despite rise in bike sales in lockdown,1,1,1
2020-07-13,Business live  Markets strengthen amid economic recovery hopes - as it happened,1,2,2
2020-07-13,What is Huawei and why is its role in UK's 5G so controversial?,2,0,2
2020-07-13,"G4S planning more than 1,000 job losses in cash-handling services",2,0,0
2020-07-13,Johnnie Walker maker creates plastic-free paper-based spirits bottle,1,2,1
2020-07-13,Gold trade body urged to suspend refinery over alleged abuses in Tanzania,1,0,2
2020-07-13,Work begins in Lincolnshire on world's longest subsea power cable,1,1,2
2020-07-13,Quiz suspends clothing supplier over Leicester subcontractor concerns,1,1,2
2020-07-13,BT boss warns of outages and security risks if UK ditches Huawei,1,1,0
2020-07-13,"Three in four UK firms unprepared for Brexit, study shows",1,1,2
2020-07-13,UK tobacco sales fell faster after plain packaging rules came into force,1,1,2
2020-07-13,"Shoppers shun high streets in England and Northern Ireland, data shows",1,1,2
2020-07-13,Bono campaign group accuses UK of wasting international aid budget,1,0,2
2020-07-13,"Project Syndicate economists  


  Covid-19 is no excuse for sovereign creditors to move the goalposts on debt",1,0,2
2020-07-13,Super-rich call for higher taxes on wealthy to pay for Covid-19 recovery,2,2,1
2020-07-13,Priti Patel to unveil details of post-Brexit immigration plans,1,1,2
2020-07-12,Primark turns down £30m windfall from job retention bonus,1,2,2
2020-07-12,Post-furlough sums don’t add up for me,1,1,2
2020-07-12,Corporations begin cautious return to UK offices after lockdown,1,1,2
2020-07-12,"Economics viewpoint  


  Until Covid-19 uncertainty melts away there's little chance of full economic recovery",1,1,2
2020-07-12,Of course there's a future for the British fishing industry – on stage,1,1,2
2020-07-12,The simplest way to close the racial wealth gap? Direct cash payments,1,2,2
2020-07-12,Enough of the psychobabble. Racism is not something to fix with therapy,1,0,2
2020-07-12,‘They just got away with paying men more …’ Milestone looms in Asda equal pay fight,2,0,2
2020-07-12,Precious metal: the gold-standard investment when a crisis hits?,2,1,0
2020-07-12,"The shifting patterns of English  


  May I have a word about… why it’s a bloodbath on the streets",1,1,2
2020-07-12,"Observer business agenda  Sunak will say things are looking up, but OBR has less faith in a rebound",1,2,2
2020-07-12,"Business leader  


  Investors are selling Boohoo shares now. They could have intervened far earlier",1,2,2
2020-07-12,Is too much trade at stake for Britain to stand up to Beijing?,1,1,2
2020-07-12,Where in Britain does China spend its money?,1,1,2
2020-07-12,"Electric cars: five best buys, from new models to used bargains",2,2,2
2020-07-12,Boris Johnson urged to clarify message on wearing face masks in shops,1,1,2
2020-07-12,Covid-19 has revealed a pre-existing pandemic of poverty that benefits the rich,2,2,2
2020-07-12,"‘My parents helped me pack lube’: from sex toys to bidets, the lockdown businesses that boomed",1,1,2
2020-07-12,'Pensioners are already suffering': responses to the summer statement,1,0,2
2020-07-12,"Leicester factory put lives at risk during lockdown, claims garment worker",1,0,2
2020-07-10,Vast Brexit customs clearance centre to be built in Kent,1,1,2
2020-07-10,G4S fined £44m by Serious Fraud Office over electronic tagging,0,0,2
2020-07-10,The billionaire Boohoo family who started with a market stall in Manchester,1,1,2
2020-07-10,Estate agents in England report surge of interest as tax cut spurs on homebuyers,1,1,2
2020-07-10,Boohoo shareholder sells off shares in firm worth nearly £80m,1,2,2
2020-07-10,West End landlord collects less than a third of rent in June,1,1,2
2020-07-10,UK travel companies 'must comply with laws on refunds or face legal action',1,1,2
2020-07-10,Boohoo co-founder Jalal Kamani linked to Leicester garment factory,1,1,2
2020-07-10,Divided Libya to restart oil production after six-month shutdown,1,1,2
2020-07-10,"Business live  England gets ready to reopen gyms, pools and nail bars as Covid-19 lockdown eases - as it happened",1,2,2
2020-07-10,The age of extinction  Boris Johnson says newts are a drag on the UK’s economy. Here’s why he’s wrong,0,0,1
2020-07-10,"Gyms, pools and nail bars: what the new rules in England allow",1,1,2
2020-07-10,Other lives  Mike Wilson obituary,1,1,2
2020-07-10,Julia Sawalha furious after being told she is 'too old' for Chicken Run sequel,0,0,2
2020-07-10,‘This isn’t really Somerset’: how the rich took over Bruton,2,2,2
2020-07-10,Royal Mail fined £1.6m for late deliveries and stamp overcharging,0,1,2
2020-07-10,Culture in peril  Coronavirus: hospitality VAT cut will apply to concerts and music festivals,1,0,2
2020-07-10,One in 10 of Restaurant Group outlets will not reopen this year,1,1,2
2020-07-10,How will we know the US economy is recovering? Here's what I'm watching,1,1,2
2020-07-10,Gym Group to reopen most branches in England from 25 July,2,1,2
2020-07-09,Pubs and restaurants in England trade at half their pre-virus levels,1,1,2
2020-07-09,"Nils Pratley on finance  


  Sharon White's radicalism at John Lewis is sorely needed",1,1,2
2020-07-09,US push to ease global energy controls as it hands fossil fuels $3bn,1,2,2
2020-07-09,Boohoo shares bounce back after pledge to improve factory conditions,1,2,1
2020-07-09,Kent airport gets green light to reopen as international hub,1,1,2
2020-07-09,"Business live  Boots to cut 4,000 jobs as John Lewis to shut eight stores, putting 1,300 jobs at risk - as it happened",1,0,2
2020-07-09,Seven ways to help garment workers,1,2,1
2020-07-09,"Boots and John Lewis to cut 5,300 jobs and close stores",1,0,0
2020-07-09,'Left in limbo': Leicester fears local lockdown will go on until mid-August,1,0,2
2020-07-09,Man arrested in Solihull over suspected £500k furlough fraud,1,0,2
2020-07-09,'No masks': Wagamama criticised over Rishi Sunak photo op,1,0,2
2020-07-09,'Phones ringing off the hook' at estate agents after stamp duty cut,1,0,2
2020-07-09,"Barclays bosses wrote Amanda Staveley off as 'dolly bird', court told",1,1,1
2020-07-09,"Sunak's jobs policies badly timed and poorly targeted, says IFS",0,0,2
2020-07-09,Our film critic's first drive-in: 'I quietly squeak with excitement',1,2,2
2020-07-09,Rolls-Royce burned through £3bn in cash owing to Covid-19 crisis,1,0,2
2020-07-09,The pelvic mesh scandal makes it clear: doctors must declare any funding,1,1,2
2020-07-09,"Boots to cut 4,000 jobs and close stores after dramatic fall in shopper numbers",0,0,2
2020-07-09,Workers fight back as US hotels try to lay off staff and hire on the cheap,1,0,0
2020-07-09,Second administrator to scrutinise Laura Ashley collapse,1,0,2
2020-07-09,Summer statement 2020: IFS airs doubts on 'unprecedented' UK economic stimulus,2,0,2
2020-07-09,"John Lewis shuts eight stores with expected loss of 1,300 jobs",1,0,0
2020-07-09,China has shown it is willing to pay the economic price of suppressing Hong Kong,2,1,2
2020-07-09,Uber Eats to deliver your supermarket shopping with Asda tie-up,1,1,2
2020-07-09,"Ofgem's £25bn plan puts climate goals at risk, say energy firms",1,1,2
2020-07-09,NBN Co to sack 800 workers as ‘initial build’ of network finishes after 10 years,1,1,2
2020-07-09,Today in Focus  The Leicester garment factories exposed by Covid-19,1,1,2
2020-07-09,"Rio Tinto smelter in New Zealand to close with loss of 1,000 jobs",1,0,2
2020-07-09,UK housing market's post-lockdown bounce 'might run out of steam',1,1,2
2020-07-09,Mass unemployment feared despite Rishi Sunak's 'plan for jobs',1,0,2
2020-07-09,'There are too many uncertainties': reactions to the summer statement,2,0,2
2020-07-09,International aviation and shipping likely to be added to UK's net zero carbon target,1,1,1
2020-07-09,Chancellor's 'eat out to help out' plan: how to get value for money,1,2,2
2020-07-09,Unions urge Rishi Sunak to do more on unemployment,2,0,2
2020-07-09,"VAT cut for restaurants, pub meals and hotels: what will it mean for you?",0,0,2
2020-07-09,Chancellor's stock peaks with 'nudge' summer statement,1,1,2
2020-07-09,'Not what a green recovery looks like': Rishi Sunak's plan gets mixed response,1,2,2
2020-07-09,"Stamp duty holiday may revive housing market, say experts",1,2,2
2020-07-09,"Politics live with Andrew Sparrow  UK coronavirus live: Rishi Sunak unveils stamp duty cut, furlough bonus and August discount for eating out – as it happened",1,2,2
2020-07-09,UK business leaders warn over closure of furlough scheme,1,1,2
2020-07-08,Boohoo to launch independent review of UK supply chain,1,1,2
2020-07-08,"May worst month for Covid-19 impact on UK job market, ONS figures show",0,0,2
2020-07-08,Devolved nations call on Treasury for billions in extra spending,1,1,2
2020-07-08,Boohoo must take fashion more seriously after factory scandal,1,0,2
2020-07-08,Scotland to keep 14-day quarantine for travellers from Spain,1,1,2
2020-07-08,UK nominates Liam Fox to lead World Trade Organization,1,1,1
2020-07-08,Rishi Sunak unveils stamp duty holiday and hospitality VAT cut,1,1,2
2020-07-08,"Ryanair to keep on UK-based crew in return for pay cuts, say unions",1,0,1
2020-07-08,"Tati, much-loved French retailer, shuts up shop in Paris after 70 years",1,1,2
2020-07-08,Summer statement 2020: the chancellor's key points at a glance,1,1,2
2020-07-08,FirstGroup could cease trading as coronavirus hits passenger levels,1,1,2
2020-07-08,Grant Thornton fined over Conviviality audit failures,1,1,2
2020-07-08,Activists see Purdue bankruptcy case as last chance to call Sacklers to account,1,1,2
2020-07-08,Uber to launch London commuter boat service with Thames Clippers,1,1,2
2020-07-08,147 new Australian Covid-19 cases – as it happened,1,1,2
2020-07-08,Stop trying to fight racism with corporate diversity consultants,1,0,2
2020-07-08,Summer statement: Rishi Sunak plans temporary job creation scheme for under-25s,1,2,2
2020-07-08,Summer statement: the UK's Covid-19 economic crisis in five key charts,1,0,2
2020-07-08,How Rishi Sunak could kickstart UK's post-lockdown economy,1,1,2
2020-07-08,"Scam calls will rise as lockdown eases, says trading standards body",1,0,1
2020-07-07,"Next, Asos and Amazon drop Boohoo amid Leicester factory claims",1,1,0
2020-07-07,"Nils Pratley on finance  


  No business need at all now for a Chinese nuclear plant in the UK",1,0,2
2020-07-07,Thousands of Jaguar Land Rover logistics workers to lose jobs,1,0,0
2020-07-07,Deutsche Bank to pay $150m fine to settle charges linked to Epstein dealings,2,1,2
2020-07-07,Crime fiction boom as book sales rocket past 2019 levels,0,0,2
2020-07-07,Business live  Markets slide as EC predicts deeper eurozone recession - as it happened,1,0,2
2020-07-07,JD Sports warehouse in Rochdale hosts mobile Covid-19 lab after positive tests,2,2,2
2020-07-07,The pandemic has exposed the dark underside of fast fashion's supply chains,1,1,2
2020-07-07,"Lockdown living  


  Fast fashion creates misery – and that's always a bad look",0,0,2
2020-07-07,New Welsh factory at risk as Jim Ratcliffe's Ineos looks to make cars in France,1,0,2
2020-07-07,Halfords predicts bicycle boom to continue for 2020,1,1,1
2020-07-07,"UK house prices fell for fourth month in a row, says Halifax",1,1,2
2020-07-07,"'We squandered a decade': world losing fight against poverty, says UN academic",1,0,1
2020-07-07,'People say we don’t exist': the scandal of excluded black architects,1,0,1
2020-07-07,"Europe faces deep recession and UK will shrink by 10%, says EC",1,0,2
2020-07-07,Boohoo shareholders demand answers after shares plunge by a third,1,1,1
2020-07-07,"Over 5,600 fossil fuel companies have taken at least $3bn in US Covid-19 aid",0,1,2
2020-07-07,Empathy machines: what will happen when robots learn to write film scripts?,1,1,2
2020-07-07,UK jobless rate 'could near 15% in second coronavirus wave',1,1,2
2020-07-07,"UK hotel bookings returning after Covid-19 slump, says Premier Inn owner",1,1,2
2020-07-07,Mirror and Express owner Reach to cut 550 jobs,1,0,1
2020-07-07,"Treasury's 'green recovery' not enough, say campaigners",1,1,2
2020-07-07,Tory ministers from 1980s fear return to mass unemployment,1,0,2
2020-07-07,Gambling charity urges UK banks to improve card blocking systems,1,2,1
2020-07-07,Multibillion-dollar gas projects in jeopardy as global market collapses,1,0,2
2020-07-07,"Jonathan Sackler, joint owner of opioid maker Purdue Pharma, dies aged 65",1,1,2
2020-07-07,"Nils Pratley on finance  


  Departure of Horta-Osório no bad thing for Lloyds at this time",2,2,2
2020-07-07,More than £1bn wiped off Boohoo value as it investigates Leicester factory,2,2,2
2020-07-07,Business live  UK car sales weakest since 1971; US service sector strengthens - as it happened,1,1,2
2020-07-07,Aviva appoints Amanda Blanc as chief executive,1,1,2
2020-07-07,Pret a Manger: full list of stores to close,2,1,2
2020-07-07,Giant flywheel project in Scotland could prevent UK blackouts,1,1,2
2020-07-07,UK construction sector rebounds amid plan for stamp duty holiday,1,2,2
2020-07-07,Hollywood stars to be exempt from UK's coronavirus quarantine rules,1,1,2
2020-07-07,"Pret a Manger to close 30 stores and could cut more than 1,000 jobs",2,0,2
2020-07-07,UK’s big accountancy firms told to split off audit arms by 2024,1,1,2
2020-07-07,Only bold state intervention will save us from a future owned by corporate giants,1,2,1
2020-07-07,Lloyds chief António Horta-Osório to step down next year,1,1,2
2020-07-07,Why the Covid-19 financial crisis will leave lasting scars on Gen Z,1,0,2
2020-07-07,Consumer champions  Sky TV charged my mother a fortune and she can’t leave,1,2,2
2020-07-06,From dusted-off bikes to electric dreams: UK green economy booms on back of Covid-19,1,2,2
2020-07-06,Scammers can create fake business ads on Google 'within hours',0,0,2
2020-07-06,Chancellor under pressure to boost financial support as job crisis looms,1,0,2
2020-07-06,UK banks prepare code of conduct on defaulting of Covid-19 business loans,1,1,2
2020-07-06,Thames Water former boss handed £2.8m since being sacked,1,1,2
2020-07-06,Lifting of lockdown in England: how do you feel reopening has gone?,1,1,1
2020-07-06,"Economics viewpoint  


  Fifteen years after the G8 summit, it's the UK that's in dire need of aid",1,0,2
2020-07-06,Evening footfall on England's high streets soars as pubs reopen,1,1,2
2020-07-06,'They've been missed': Cornwall welcomes first tourists of summer,2,1,2
2020-07-06,"For small business owners, the pandemic proves it: millennials were right",1,1,2
2020-07-06,"Honey, I shrunk the shopping: the rise of mini products as children's toys",1,1,1
2020-07-06,Travel agents resort to hardline tactics to get out of a refund,1,1,2
2020-07-06,Wouldn’t it be great for British town centres if people could just move into closed shops?,2,2,2
2020-07-06,"Notebook  


  Have a heart, KitKat, don't break with Fairtrade",1,2,2
2020-07-06,"Business leader  


  Big Tech may not be afraid of a boycott. But it might fear a regulator",0,0,2
2020-07-06,"Hidden gems from the world of research  


  We might never get over the fear that the pandemic induced",1,0,2
2020-07-06,Sunak considers £500 vouchers for all UK adults to spend in Covid-hit firms,1,1,2
2020-07-06,Donald Trump rushed to reopen America – now Covid is closing in on him,1,1,2
2020-07-06,The Observer view on the reopening of the economy,1,1,2
2020-07-06,Letters: recovery plan must not endanger the Earth,1,1,2
2020-07-05,I left my heart in the Luton airport branch of Bella Italia ...,1,2,2
2020-07-05,Observer business agenda  Rolls-Royce faces a long haul back to high-flier status,1,1,2
2020-07-05,"Huawei could be cut out of UK's 5G network this year, say reports",1,0,1
2020-07-05,The Bank of England has many battles ahead. Inflation will not be one of them,2,0,2
2020-07-05,"VAT, NICs … what will Rishi Sunak’s summer statement target?",1,1,2
2020-07-05,"The Covid crisis made Rishi Sunak a star, but it could yet undo him",1,0,2
2020-07-05,English pubs pour first pints for customers since lockdown began,1,1,2
2020-07-05,Debt: 'The first step towards change is admitting you have a problem',2,0,2
2020-07-05,Boohoo booms as Leicester garment factories are linked to lockdown,1,1,2
2020-07-05,"England eases lockdown: how pubs, hairdressers and restaurants will work",1,2,2
2020-07-05,Banking apps: what do they offer – and how is your cash protected?,1,2,2
2020-07-05,UK manufacturers to export surplus medical ventilators,1,1,2
2020-07-05,"Leicester residents could be fined up to £3,200 for breaching new lockdown laws",1,1,2
2020-07-05,Queenstown: a tourist town with no tourists fights despair among stranded workers,1,0,2
2020-07-05,"Struggling retailers paid less than a third of June rent, says malls owner",1,0,2
2020-07-05,Mission impossible? How to shoot a blockbuster in the coronavirus era,0,2,2
2020-07-05,"Amid the havoc wreaked by coronavirus, there is another danger we've forgotten",1,0,2
2020-07-05,"Gin, cheese and coffee: Britons flock to subscription services in lockdown",1,1,2
2020-07-05,‘A bit of trepidation’: Lake District prepares to reopen to visitors,1,1,1
2020-07-05,"Business live  UK service sector slump levels off, as China growth surges - as it happened",1,2,2
2020-07-03,UK waste firm Biffa loses appeal after exporting dirty waste to China,0,0,2
2020-07-03,Poundstretcher could close half its stores under rescue deal,1,2,2
2020-07-03,Socially distanced outdoor music venue to open in Newcastle in August,1,1,2
2020-07-03,Tenby residents feel mixed emotions about tourists' return,1,1,2
2020-07-03,China's stock market closes at highest level in five years,1,1,2
2020-07-03,Some small businesses can't get past their own prejudice. Let them fold,1,0,2
2020-07-03,UK car loans and pawnbroker payments freeze extended,1,1,2
2020-07-03,Holidaymakers offered little or no coronavirus-related insurance,1,0,2
2020-07-03,"Nils Pratley on finance  


  Why the secrecy around financial terms of Covid-19 loan to Celsa Steel UK?",1,1,1
2020-07-03,Barclays: Qataris spoke to Gordon Brown to 'defuse 2008 bailout pressure',1,0,2
2020-07-03,Unions say Coalition's 'demonising' of unemployed is groundwork for Covid-19 welfare cuts,1,0,1
2020-07-03,Mark Zuckerberg: advertisers' boycott of Facebook will end 'soon enough',1,0,2
2020-07-03,Behind the 4.8m jobs that returned: key takeaways from June’s US jobs report,1,1,0
2020-07-03,Luton airport to make up to 250 staff redundant,1,1,2
2020-07-03,"Bella Italia owner falls into administration, with loss of 1,900 jobs",1,0,0
2020-07-03,Boris ‘the Builder’ Johnson has found a new scapegoat: the humble newt,1,0,2
2020-07-03,Business live  Markets rally as US unemployment rate falls to 11.1% - as it happened,1,0,2
2020-07-03,Tobacco firm funded attack on council quit-smoking services,1,0,2
2020-07-03,"$10bn of precious metals dumped each year in electronic waste, says UN",1,1,2
2020-07-03,Revealed: raw sewage poured into Olympic Park wildlife haven,0,1,2
2020-07-02,UK gives go-ahead to giant windfarm project off Norfolk coast,1,1,2
2020-07-02,US employers take back 4.8m workers as coronavirus threatens economic recovery,1,0,2
2020-07-02,Jordan bans smoking and vaping in indoor public spaces,1,1,2
2020-07-02,UK government development bank to end fossil fuel financing,1,1,2
2020-07-02,"Project Syndicate economists  


  Invest in the green economy and we'll recover from the Covid-19 crisis",1,0,2
2020-07-02,Primark loses £800m in Covid-19 lockdowns,0,0,0
2020-07-02,"UK should prioritise green projects to kickstart economy, says IMF",1,1,2
2020-07-02,"Fears grow for UK high street as more than 6,000 retail jobs cut in a day",2,0,1
2020-07-02,"Nils Pratley on finance  


  As the Hong Kong security law comes into force, HSBC's silence is deafening",1,1,2
2020-07-02,Pressure mounts on UK government to release list of 'air bridges',1,0,2
